FileStatus,LeftFileName,RightFileName,LeftFilePath,RightFilePath,LeftNumberOfLines,RightNumberOfLines,LeftFileNamePWeaver,LeftLeafFileName,RightLeafFileName
Both,#pwss#ecsltl.fugr.#pwss#rate_daytonfreight_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_daytonfreight_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_daytonfreight_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_daytonfreight_v2.abap,268,268,#pweaver#ecsltl.fugr.#pweaver#rate_daytonfreight_v2.abap,rate_daytonfreight_v2.abap,rate_daytonfreight_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_dohrn_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_dohrn_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_dohrn_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_dohrn_v2.abap,248,248,#pweaver#ecsltl.fugr.#pweaver#rate_dohrn_v2.abap,rate_dohrn_v2.abap,rate_dohrn_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_dynamex_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_dynamex_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_dynamex_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_dynamex_v2.abap,342,342,#pweaver#ecsltl.fugr.#pweaver#rate_dynamex_v2.abap,rate_dynamex_v2.abap,rate_dynamex_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_estes_ltl.abap,#pweaver#ecsltl.fugr.#pweaver#rate_estes_ltl.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_estes_ltl.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_estes_ltl.abap,350,350,#pweaver#ecsltl.fugr.#pweaver#rate_estes_ltl.abap,rate_estes_ltl.abap,rate_estes_ltl.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_fedexfreight_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_fedexfreight_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_fedexfreight_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_fedexfreight_v2.abap,745,878,#pweaver#ecsltl.fugr.#pweaver#rate_fedexfreight_v2.abap,rate_fedexfreight_v2.abap,rate_fedexfreight_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_midwest.abap,#pweaver#ecsltl.fugr.#pweaver#rate_midwest.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_midwest.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_midwest.abap,242,242,#pweaver#ecsltl.fugr.#pweaver#rate_midwest.abap,rate_midwest.abap,rate_midwest.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_odfl_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_odfl_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_odfl_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_odfl_v2.abap,324,324,#pweaver#ecsltl.fugr.#pweaver#rate_odfl_v2.abap,rate_odfl_v2.abap,rate_odfl_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_pittohio_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_pittohio_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_pittohio_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_pittohio_v2.abap,268,268,#pweaver#ecsltl.fugr.#pweaver#rate_pittohio_v2.abap,rate_pittohio_v2.abap,rate_pittohio_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_roadrunner_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_roadrunner_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_roadrunner_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_roadrunner_v2.abap,247,247,#pweaver#ecsltl.fugr.#pweaver#rate_roadrunner_v2.abap,rate_roadrunner_v2.abap,rate_roadrunner_v2.abap
Both,#pwss#ecsltl.fugr.#pwss#rate_saia_v2.abap,#pweaver#ecsltl.fugr.#pweaver#rate_saia_v2.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#rate_saia_v2.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#rate_saia_v2.abap,269,269,#pweaver#ecsltl.fugr.#pweaver#rate_saia_v2.abap,rate_saia_v2.abap,rate_saia_v2.abap
